Before/After,Name,Average_Velocity,Effective_Speed,Release_Extension,Horizontal_Break,Vertical_Break,Launch_Speed,Launch_Angle,Average_wOBA
Before 2017-8-31,SL,88.5,87.7,5.74,0.77,2.25,84.06,13.29,0.354
After 2017-9-1,SL,87.1,86.3,5.8,0.71,1.83,84.13,14.61,0.3
Before 2017-8-31,FT,95.6,94.5,6.0,0.02,3.02,77.5,1.08,0.271
Before 2017-8-31,FF,95.3,94.3,5.91,-0.0,2.84,88.96,19.69,0.406
After 2017-9-1,FF,95.0,93.9,5.96,0.03,2.79,90.35,27.8,0.38
Before 2017-8-31,FC,92.2,91.9,5.95,0.56,2.4,99.7,27.15,0.712
After 2017-9-1,FC,91.4,92.8,5.89,0.74,2.16,80.53,4.76,0.29
Before 2017-8-31,CU,80.4,78.9,5.29,0.17,1.91,86.31,7.43,0.385
After 2017-9-1,CU,79.6,78.0,5.33,0.25,1.88,85.74,7.92,0.3
Before 2017-8-31,CH,87.7,87.2,6.01,-0.4,2.13,88.34,14.05,0.485
After 2017-9-1,CH,87.1,86.6,6.1,-0.54,2.01,85.02,8.59,0.29
